,Restaurant name,Categories,TEL/reservation,Addresses,Transportation,Operating Hours,Shop holidays,Budget,Method of payment,Table money/charge,Awards
0,Yakitonasachan(やきとん　あさちゃん 戸越銀座店),"Izakaya (Tavern), Grilled pork, Yakitori (Grilled chicken)",050-5570-4876      (+81-50-5570-4876)    (For reservation only)        03-5749-3018        (+81-3-5749-3018)      (For inquiry)予約可,1-chome-8-1 Hiratsuka Shinagawa City Tokyo-to                                     東京都                                              品川区                                                平塚                                              1-8-1                    Show larger map,東急池上線　戸越銀座駅　徒歩10秒47 meters from Togoshi Ginza.,月～木曜日　15時～23時(ラストオーダー 22:30)金曜日　　　15時～23時30分(ラストオーダー23:00)土曜日　　　12時～23時30分(ラストオーダー23:00)日曜日　　　12時～23時(ラストオーダー 22:30)Open on sundays,12/31 1/1 休業,"Dinner:￥2,000～￥2,999Lunch:￥2,000～￥2,999",Credit Cards AcceptedElectronic money Not AcceptedQR code payment Not Accepted,お通し(席料込み)　220円,
1,sakabafutamata(酒場フタマタ 西新橋店),"Izakaya (Tavern), Dumplings, Yakitori (Grilled chicken)",050-5456-6727      (+81-50-5456-6727)    (For reservation only)        03-6205-8330        (+81-3-6205-8330)      (For inquiry)予約可,1-chome-3-1 Nishishinbashi Minato City Tokyo-to                                     東京都                                              港区                                                西新橋                                              1-3-1                                          西新橋スクエア 2F                    Show larger map,JR新橋駅徒歩5分銀座線虎ノ門駅徒歩5分都営三田線内幸町駅A4ｂ出口直結155 meters from Uchisaiwaicho.,[月～金]11:30～14:3017:00～23:00,土日祝 12/29~1/3 休業,"Dinner:￥2,000～￥2,999Lunch:～￥999",Credit Cards Accepted                  (VISA、Master、JCB、AMEX、Diners)                Electronic money Not Accepted,お通し：429円※コース利用の場合はなし,
2,Maggiore(マッジョーレ),"Dining bar, Italian, Pasta",03-5610-5151      (+81-3-5610-5151)    予約可※ご予約後のキャンセルや人数変更は、必ず前日までの連絡をお願い致します。食材のご用意やお席の確保により、キャンセル料が発生致します。当日キャンセル　　３０００円×人数様分何卒ご了承頂き、ご注意下さい。,Taihei Sumida City Tokyo                                     東京都                                              墨田区                                                太平                                              3-8-8                    Show larger map,ＪＲ総武線錦糸町駅北口から徒歩７分東京メトロ半蔵門線錦糸町駅４番出口から徒歩３分401 meters from Kinshicho.,【ランチ）　11：30～14：00（L.O)平日　ランチ専用メニュー土、日、祝　アラカルトメニュー【ディナー】　17:00～21:00(L.O)Open on sundays,月曜日,"Dinner:￥4,000～￥4,999Lunch:￥1,000～￥1,999",Credit Cards Accepted                  (VISA、Master、JCB、AMEX、Diners)                Electronic money Accepted                    (Transportation electronic money(Suica)、Rakuten-Edy、nanaco、WAON、iD、QUICPay)                QR code payment Accepted                    (PayPay、d Barai、Rakuten Pay、au PAY),,
3,Tanyashe(譚鴨血老火鍋 池袋東口店),"Chinese hot pot / fire pot, Izakaya (Tavern), Shabu Shabu (Japanese Steamboat)",050-5872-8185      (+81-50-5872-8185)    (For reservation only)        03-5928-3391        (+81-3-5928-3391)      (For inquiry)予約可,1-chome-26-2 Minamiikebukuro Toshima City Tokyo                                     東京都                                              豊島区                                                南池袋                                              1-26-2                                          近代ビル 8F                    Show larger map,池袋駅東口徒歩2分JR池袋駅東口を出て、目の前の大通りの左側の道をまっすぐ、マクドナルド・guを過ぎ、角のビル８階です。264 meters from Ikebukuro.,全日11:00～23:00(Lo:22:30)Open on sundays,年中無休,"Dinner:￥3,000～￥3,999Lunch:￥1,000～￥1,999",Credit Cards Accepted                  (VISA、Master、JCB、AMEX、Diners)                Electronic money Accepted,チャージなし,
4,Yakinikuinami(焼肉一七三 向山),"Yakiniku (BBQ Beef), Horumon (BBQ Offel), Izakaya (Tavern)",050-5890-0396      (+81-50-5890-0396)    (For reservation only)        03-6452-4646        (+81-3-6452-4646)      (For inquiry)完全予約制,1-chome-13-3 Ebisuminami Shibuya City Tokyo                                     東京都                                              渋谷区                                                恵比寿南                                              1-13-3                                          GOLDビル 5F                    Show larger map,JR山手線ほか　恵比寿駅　西口　徒歩3分151 meters from Ebisu.,[火～日]17:00～24:00(L.O)Open on sundays,月曜日,"Dinner:￥8,000～￥9,999",Credit Cards Accepted                  (VISA、Master、JCB、AMEX、Diners)                Electronic money Not AcceptedQR code payment Not Accepted,,
5,kurogewagyuuyakinikutabehoudaigyuumaru(黒毛和牛×焼肉食べ放題 牛丸 渋谷本店),"Yakiniku (BBQ Beef), Izakaya (Tavern), Horumon (BBQ Offel)",03-4455-9158      (+81-3-4455-9158)    予約可ご予約の際は食べログを見たとお伝え頂くとスムーズです。,30-5 Udagawacho Shibuya City Tokyo-to                                     東京都                                              渋谷区                                                宇田川町                                              30-5                                          渋谷JOWビル 8F                    Show larger map,JR渋谷駅 ハチ公口 徒歩3分井ノ頭通り・センター街の宇田川交番前！ファミリーマートの向かい、渋谷JOWビル8Fです。429 meters from Shibuya.,12:00～翌4:00Open on sundays,年中無休,"Dinner:￥3,000～￥3,999Lunch:￥2,000～￥2,999",Credit Cards Accepted                  (VISA、Master、AMEX)                Electronic money Not Accepted,,
6,Tamachitei(たまち亭),"Izakaya (Tavern), Seafood, Nihonshu (Japanese sake)",050-5571-1041      (+81-50-5571-1041)    (For reservation only)        03-3455-3366        (+81-3-3455-3366)      (For inquiry)予約可※コロナウイルスの影響により、前日までのご宴会キャンセルにつきましてはキャンセル代金を頂戴いたしません。また、人数変更につきましても当日まで承らせていただきます。店舗までご連絡くださいませ。※ご予約キャンセル設定は期日迄にお願い致します人数や内容変更は店舗にご連絡下さい,3-chome-6-8 Shibaura Minato City Tokyo-to                                     東京都                                              港区                                                芝浦                                              3-6-8                                          うつみビル 2F                    Show larger map,ＪＲ各線田町駅田町駅芝浦口より徒歩3分三田駅A5番出口より徒歩5分293 meters from Tamachi.,16:30～2４:00（L.O.2３:30）,日曜日★豊洲市場直送の鮮魚・厳選牛タンと日本酒ウリにした居酒屋個室は10名・宴会場30～40名様と最大66名様♪貸切・会社宴会・接待・歓送迎会・デート・2次会にもおすすめ♪インスタにて、人気メニューレシピ公開中！#たまち亭検索♪ワンコインチャージで銘柄日本酒等ドリンク半額！（詳細はドリンクメニュー）,"Dinner:￥3,000～￥3,999Lunch:～￥999",Credit Cards Accepted                  (VISA、Master)                Electronic money Not AcceptedQR code payment Not Accepted,なし,
7,Kushiageikkatsu(串揚げ 一喝),"Kushi-age (Fried Skewer), Japanese food (other), Izakaya (Tavern)",050-5593-3634      (+81-50-5593-3634)    (For reservation only)        03-5628-6868        (+81-3-5628-6868)      (For inquiry)予約可※ネット予約時の注意事項※食べログネット予約にてご予約いただいたお客様におかれましては、キャンセルおよび人数変更が生じた場合、お手数をおかけしますがお電話ではなく、食べログページよりキャンセル・人数変更処理をして頂きますよう、何卒よろしくお願い申し上げます。,5-chome-3-9 Kameido Koto City Tokyo-to                                     東京都                                              江東区                                                亀戸                                              5-3-9                                          里見ビル　１Ｆ                    Show larger map,ＪＲ総武線「亀戸駅」北口より徒歩1分122 meters from Kameido.,水曜〜日曜日17:00〜20:00までに入店(21：00閉店)Open on sundays,火曜日（※当面の間、月曜日も定休日となります。）,"Dinner:￥4,000～￥4,999",Credit Cards Accepted                  (JCB、AMEX、Diners、VISA、Master)                Electronic money Not Accepted,,
8,Katsu(克ッ 下北沢),"Yakitori (Grilled chicken), Izakaya (Tavern), Japanese food (other)",050-5868-3497      (+81-50-5868-3497)    (For reservation only)        03-3468-3334        (+81-3-3468-3334)      (For inquiry)予約可,2-chome-33-3 Kitazawa Setagaya City Tokyo-to                                     東京都                                              世田谷区                                                北沢                                              2-33-3                                          第一片柳ビル1F                    Show larger map,京王井の頭線下北沢駅より徒歩2分小田急小田原線下北沢駅より徒歩2分205 meters from Shimo Kitazawa.,＜営業時間＞15:00～23:00（フード・ドリンクL.O22:00）Open on sundays,無休,"Dinner:￥3,000～￥3,999",Credit Cards Accepted                  (VISA、Master、JCB、AMEX、Diners)                Electronic money Not AcceptedQR code payment Accepted                    (PayPay、d Barai、au PAY),300円,
9,koshitsuyakinikuitadaki(個室焼肉ITADAKI 町田),"Yakiniku (BBQ Beef), Izakaya (Tavern), Wine bar",050-3196-2184      (+81-50-3196-2184)    予約可,4-chome-1-9 Haramachida Machida Tokyo-to                                     東京都                                              町田市                                                原町田                                              4-1-9                                          永井ビル B1F                    Show larger map,ＪＲ横浜線 町田駅 ターミナル口 徒歩1分小田急小田原線 町田駅 徒歩6分225 meters from Machida.,ディナー：17:00～23:00（最終入店：22:00）コース　：21:00 (L.O）フード　：22:00(L.O）ドリンク：22:30 (L.O）Open on sundays,月曜日,"Dinner:￥6,000～￥7,999",Credit Cards Accepted                  (VISA、Master、JCB、AMEX、Diners)                Electronic money Accepted                    (Transportation electronic money(Suica)、iD、QUICPay)                QR code payment Not Accepted,サービス料10%、チャージ料なし　当店ではドリンクオーダー制とさせて頂いております。,
10,Senrikou(千里香),"Chinese, Izakaya (Tavern), Yakiniku (BBQ Beef)",050-5869-9220      (+81-50-5869-9220)    (For reservation only)        03-5338-6918        (+81-3-5338-6918)      (For inquiry)予約可,1-chome-17-10 Hyakunincho Shinjuku City Tokyo-to                                     東京都                                              新宿区                                                百人町                                              1-17-10                                          細野ビル　２Ｆ                    Show larger map,ＪＲ中央線 大久保駅 徒歩1分ＪＲ 新大久保駅 徒歩4分125 meters from Okubo.,店内の食事11:00～24:00（L.O.23:00）＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝ランチのネット予約を承りませんので、キャンセル処理とさせていただきます）Open on sundays,無休,"Dinner:￥4,000～￥4,999Lunch:～￥999",Credit Cards Accepted                  (JCB、AMEX、Diners、VISA)                Electronic money AcceptedQR code payment Accepted,なし,
11,Yakinikujonjon(焼肉じょんじょん 高円寺店),"Yakiniku (BBQ Beef), Horumon (BBQ Offel), Izakaya (Tavern)",050-5590-4625      (+81-50-5590-4625)    (For reservation only)        03-5356-9795        (+81-3-5356-9795)      (For inquiry)予約可混み合った場合2時間制となります。ご了承ください。,3-chome-17-2 Koenjikita Suginami City Tokyo-to                                     東京都                                              杉並区                                                高円寺北                                              3-17-2                                          オークヒル高円寺 1F                    Show larger map,JR中央・総武線　高円寺駅より徒歩3分。北口を出てすぐ左りに歩き、中通り商店街を入って真っすぐファミリーマートの向かい247 meters from Koenji.,[月～金]17:00～24:00(LO:23:30)[土・祝]12:00～24:00(LO:23:30)[日]12:00〜23:00(LO:22:30)年中無休Open on sundays,年中無休,"Dinner:￥4,000～￥4,999Lunch:￥2,000～￥2,999",Credit Cards Accepted                  (VISA、Master、JCB、AMEX、Diners)                Electronic money Accepted                    (Transportation electronic money(Suica)、Rakuten-Edy、nanaco、WAON、iD、QUICPay)                QR code payment Accepted                    (PayPay、Rakuten Pay、au PAY),サービス料なし。チャージ料なし,
12,Anko(庵狐 円山町店),"Izakaya (Tavern), Fowl, Soba",050-5457-4963      (+81-50-5457-4963)    (For reservation only)        03-5459-4083        (+81-3-5459-4083)      (For inquiry)予約可,25-4 Maruyamacho Shibuya City Tokyo-to                                     東京都                                              渋谷区                                                円山町                                              25-4                                          加藤ビル　１Ｆ                    Show larger map,京王井の頭線【神泉駅】徒歩２分東京メトロ半蔵門線、東急田園都市線【渋谷駅】徒歩９分ＪＲ山手線【渋谷駅】徒歩11分126 meters from Shinsen.,[月～金]11：30～14:30 (L.O.14:00)18：00～24:00[土]17：00～24:00[日・祝日]17：00～23:00※東京都の要請により、営業時間が変更となる場合がございます。お気軽に店舗までお問い合わせください。Open on sundays,6月は通常通り。7月より日曜日が定休日となります。月曜日が祭日の場合は、日曜日は営業（年末年始休みあり）,"Dinner:￥5,000～￥5,999Lunch:￥1,000～￥1,999",Credit Cards Accepted                  (VISA、Master、JCB、AMEX)                Electronic money Not AcceptedQR code payment Accepted                    (PayPay),お通し300円,
13,DIPPALACE HERITAGE Roppongi(ディップパレス ヘリテイジ 六本木店),"India cuisine, Thailand cooking, Indian curry",050-5594-2052      (+81-50-5594-2052)    (For reservation only)        03-5545-5415        (+81-3-5545-5415)      (For inquiry)予約可・Go to EATでのご予約はテイクアウトはご利用いただけません。,Roppongi Minato City Tokyo                                     東京都                                              港区                                                六本木                                              3-2-1                                          住友不動産六本木グランドタワー2F                    Show larger map,東京メトロ南北線「六本木一丁目駅」直結106 meters from Roppongi Itchome.,ランチ:11:00〜16:30ディナー:16:30〜23:00 (LO.22:30)Open on sundays,無休,"Dinner:￥2,000～￥2,999Lunch:～￥999",Credit Cards Accepted                  (VISA、Master、JCB、AMEX)                Electronic money Not AcceptedQR code payment Accepted                    (PayPay),,
14,tabenomihoudaizenhyakusanjusshuruikanzenkoshitsuizakayakyouzono(食べ飲み放題全130種類 完全個室居酒屋 京園 新宿本店),"Izakaya (Tavern), Izakaya (other), Yakitori (Grilled chicken)",050-5869-0246      (+81-50-5869-0246)    (For reservation only)        080-9717-2704        (+81-80-9717-2704)      (For inquiry)予約可,1-chome-18-9 Kabukicho Shinjuku City Tokyo                                     東京都                                              新宿区                                                歌舞伎町                                              1-18-9                                          WaMall歌舞伎町 8F                    Show larger map,2名様～90名様まで様々な完全個室を完備♪★JR新宿駅東口徒歩2分/西武新宿駅徒歩2分220 meters from Seibu Shinjuku.,月～木、日、祝日: 11:00～翌0:00 （料理L.O. 23:00 ドリンクL.O. 23:30）金、土、祝前日: 11:00～翌5:00 （料理L.O. 翌4:00 ドリンクL.O. 翌4:30）Open on sundays,年中無休,"Dinner:￥3,000～￥3,999Lunch:～￥999",Credit Cards Accepted                  (VISA、Master、JCB、AMEX)                Electronic money Not Accepted,お通し代：480円(単品のみ),
15,Barumaru(バルマル 赤坂見附店),"Spain, Bar, Wine bar",03-6426-5955      (+81-3-6426-5955)    予約可,3-chome-20-6 Akasaka Minato City Tokyo-to                                     東京都                                              港区                                                赤坂                                              3-20-6                    Show larger map,地下鉄丸ノ内線赤坂見附駅 徒歩2分 地下鉄半蔵門線永田町駅 徒歩5分 地下鉄千代田線赤坂駅 徒歩6分136 meters from Akasaka Mitsuke.,ディナー17:00～翌02:00土祝も深夜営業まで！,日曜日,"Dinner:￥2,000～￥2,999Lunch:～￥999",Credit Cards Accepted                  (VISA、Master、JCB、AMEX、Diners)                Electronic money Not Accepted,,
16,yamashou(やましょう GEMS市ヶ谷店),"Motsu Nabe (Offel Hot Pot), Izakaya (Tavern), Tripe related dishes",03-6256-9892      (+81-3-6256-9892)    予約可,4-3 Rokubancho Chiyoda City Tokyo-to                                     東京都                                              千代田区                                                六番町                                              4-3                                          GEMS’市ヶ谷7F                     Show larger map,ＪＲ中央線 市ケ谷駅 3番出口 徒歩3分 地下鉄南北線 市ケ谷駅 3番出口 徒歩3分 都営新宿線 市ケ谷駅 3番出口 徒歩3分 地下鉄有楽町線 麹町駅 5番・6番出口 徒歩5分 325 meters from Ichigaya.,[テイクアウト]　平日16:00~20:00 土日祝15:00~20:00　[店内お食事]　　平日17:00~24:00 土日祝16:00~24:00,日曜日、月曜日,"Dinner:￥4,000～￥4,999",Credit Cards Accepted                  (VISA、Master、JCB、AMEX、Diners)                Electronic money AcceptedQR code payment Accepted                    (PayPay、au PAY),お通し／チャージ　（一人440円）,
17,Shimbashikazu(しんばし 和寿),"Suppon (Soft-shelled Turtle), Izakaya (Tavern), Seafood",050-5594-4156      (+81-50-5594-4156)    (For reservation only)        03-3437-5535        (+81-3-3437-5535)      (For inquiry)予約可,3-chome-11-1 Shinbashi Minato City Tokyo-to                                     東京都                                              港区                                                新橋                                              3-11-1                                          イーグル烏森ビル ２F                    Show larger map,JR・都営・ゆりかもめ「新橋駅」南改札烏森口より徒歩3分都営三田線「内幸町駅」A1出口より徒歩4分都営大江戸線「汐留駅」より徒歩9分◇新橋駅前機関車の先頭付近の交差点を、駅を背にして左側に進み、最初の交差点を渡って右側に70mほど進んだ左側のビルの2階です◇221 meters from Shimbashi.,通常営業時間[月～金] 17:00～23:00(L.O.22:30)※土曜日は1週間前までにご予約頂けましたら営業致します。（※土曜日のご予約は5名様より承ります。）,土曜・日曜・祝日（土曜日はお休みですが、1週間前に5名様以上のご利用にてご予約頂けましたら営業致します。）,"Dinner:￥8,000～￥9,999",Credit Cards Accepted                  (JCB、AMEX、VISA、Master)                Electronic money Not Accepted,お通し料：600円/一名様,
18,Toriryouriteppanyakikashiwa(鶏料理 鉄板焼 かしわ PARCO-ya上野店),"Fowl, Izakaya (Tavern), Okonomiyaki",050-5595-9377      (+81-50-5595-9377)    (For reservation only)        03-6806-0025        (+81-3-6806-0025)      (For inquiry)予約可,3-chome-24-6 Ueno Taito City Tokyo-to                                     東京都                                              台東区                                                上野                                              3-24-6                                          PARCO-ya上野 6F                    Show larger map,JR御徒町駅より徒歩2分上野広小路駅より徒歩1分76 meters from Ueno Hirokoji.,11:00〜22:00(お食事LO21：00),建物の営業時間に準ずる,"Dinner:￥2,000～￥2,999Lunch:￥1,000～￥1,999",Credit Cards Accepted                  (VISA、Master、JCB、AMEX、Diners)                Electronic money Accepted                    (Transportation electronic money(Suica)、iD、QUICPay)                QR code payment Accepted                    (PayPay、d Barai、Rakuten Pay、au PAY),チャージ料なし,
19,Jippousushi(十方 鮨),"Sushi, Seafood, Japanese food (other)",050-5872-8731      (+81-50-5872-8731)    (For reservation only)        03-6804-0444        (+81-3-6804-0444)      (For inquiry)完全予約制電話予約受付時間：11:00〜17:00上記以外の時間は留守番電話にてお名前、連絡先、予約希望日を残して頂き、翌日予約確認の電話を折り返し,3-chome-28-6 Ikejiri Setagaya City Tokyo-to                                     東京都                                              世田谷区                                                池尻                                              3-28-6                                          1stアミューズビル 3F                    Show larger map,東急田園都市線「池尻大橋駅」西口から徒歩11分三宿バス停から徒歩2分648 meters from Ikejiri Ohashi.,【昼】11:00~【夜】一部：18:00〜二部：20:30〜,日曜日,"Dinner:￥10,000～￥14,999Lunch:￥5,000～￥5,999",Credit Cards Accepted                  (VISA、Master、AMEX、JCB)                Electronic money Accepted,無し,
20,Yakitonasachan(やきとん　あさちゃん 戸越銀座店),"Izakaya (Tavern), Grilled pork, Yakitori (Grilled chicken)",050-5570-4876      (+81-50-5570-4876)    (For reservation only)        03-5749-3018        (+81-3-5749-3018)      (For inquiry)予約可,1-chome-8-1 Hiratsuka Shinagawa City Tokyo-to                                     東京都                                              品川区                                                平塚                                              1-8-1                    Show larger map,東急池上線　戸越銀座駅　徒歩10秒47 meters from Togoshi Ginza.,月～木曜日　15時～23時(ラストオーダー 22:30)金曜日　　　15時～23時30分(ラストオーダー23:00)土曜日　　　12時～23時30分(ラストオーダー23:00)日曜日　　　12時～23時(ラストオーダー 22:30)Open on sundays,12/31 1/1 休業,"Dinner:￥2,000～￥2,999Lunch:￥2,000～￥2,999",Credit Cards AcceptedElectronic money Not AcceptedQR code payment Not Accepted,お通し(席料込み)　220円,
21,sakabafutamata(酒場フタマタ 西新橋店),"Izakaya (Tavern), Dumplings, Yakitori (Grilled chicken)",050-5456-6727      (+81-50-5456-6727)    (For reservation only)        03-6205-8330        (+81-3-6205-8330)      (For inquiry)予約可,1-chome-3-1 Nishishinbashi Minato City Tokyo-to                                     東京都                                              港区                                                西新橋                                              1-3-1                                          西新橋スクエア 2F                    Show larger map,JR新橋駅徒歩5分銀座線虎ノ門駅徒歩5分都営三田線内幸町駅A4ｂ出口直結155 meters from Uchisaiwaicho.,[月～金]11:30～14:3017:00～23:00,土日祝 12/29~1/3 休業,"Dinner:￥2,000～￥2,999Lunch:～￥999",Credit Cards Accepted                  (VISA、Master、JCB、AMEX、Diners)                Electronic money Not Accepted,お通し：429円※コース利用の場合はなし,
22,Maggiore(マッジョーレ),"Dining bar, Italian, Pasta",03-5610-5151      (+81-3-5610-5151)    予約可※ご予約後のキャンセルや人数変更は、必ず前日までの連絡をお願い致します。食材のご用意やお席の確保により、キャンセル料が発生致します。当日キャンセル　　３０００円×人数様分何卒ご了承頂き、ご注意下さい。,Taihei Sumida City Tokyo                                     東京都                                              墨田区                                                太平                                              3-8-8                    Show larger map,ＪＲ総武線錦糸町駅北口から徒歩７分東京メトロ半蔵門線錦糸町駅４番出口から徒歩３分401 meters from Kinshicho.,【ランチ）　11：30～14：00（L.O)平日　ランチ専用メニュー土、日、祝　アラカルトメニュー【ディナー】　17:00～21:00(L.O)Open on sundays,月曜日,"Dinner:￥4,000～￥4,999Lunch:￥1,000～￥1,999",Credit Cards Accepted                  (VISA、Master、JCB、AMEX、Diners)                Electronic money Accepted                    (Transportation electronic money(Suica)、Rakuten-Edy、nanaco、WAON、iD、QUICPay)                QR code payment Accepted                    (PayPay、d Barai、Rakuten Pay、au PAY),,
23,Tanyashe(譚鴨血老火鍋 池袋東口店),"Chinese hot pot / fire pot, Izakaya (Tavern), Shabu Shabu (Japanese Steamboat)",050-5872-8185      (+81-50-5872-8185)    (For reservation only)        03-5928-3391        (+81-3-5928-3391)      (For inquiry)予約可,1-chome-26-2 Minamiikebukuro Toshima City Tokyo                                     東京都                                              豊島区                                                南池袋                                              1-26-2                                          近代ビル 8F                    Show larger map,池袋駅東口徒歩2分JR池袋駅東口を出て、目の前の大通りの左側の道をまっすぐ、マクドナルド・guを過ぎ、角のビル８階です。264 meters from Ikebukuro.,全日11:00～23:00(Lo:22:30)Open on sundays,年中無休,"Dinner:￥3,000～￥3,999Lunch:￥1,000～￥1,999",Credit Cards Accepted                  (VISA、Master、JCB、AMEX、Diners)                Electronic money Accepted,チャージなし,
24,Yakinikuinami(焼肉一七三 向山),"Yakiniku (BBQ Beef), Horumon (BBQ Offel), Izakaya (Tavern)",050-5890-0396      (+81-50-5890-0396)    (For reservation only)        03-6452-4646        (+81-3-6452-4646)      (For inquiry)完全予約制,1-chome-13-3 Ebisuminami Shibuya City Tokyo                                     東京都                                              渋谷区                                                恵比寿南                                              1-13-3                                          GOLDビル 5F                    Show larger map,JR山手線ほか　恵比寿駅　西口　徒歩3分151 meters from Ebisu.,[火～日]17:00～24:00(L.O)Open on sundays,月曜日,"Dinner:￥8,000～￥9,999",Credit Cards Accepted                  (VISA、Master、JCB、AMEX、Diners)                Electronic money Not AcceptedQR code payment Not Accepted,,
25,kurogewagyuuyakinikutabehoudaigyuumaru(黒毛和牛×焼肉食べ放題 牛丸 渋谷本店),"Yakiniku (BBQ Beef), Izakaya (Tavern), Horumon (BBQ Offel)",03-4455-9158      (+81-3-4455-9158)    予約可ご予約の際は食べログを見たとお伝え頂くとスムーズです。,30-5 Udagawacho Shibuya City Tokyo-to                                     東京都                                              渋谷区                                                宇田川町                                              30-5                                          渋谷JOWビル 8F                    Show larger map,JR渋谷駅 ハチ公口 徒歩3分井ノ頭通り・センター街の宇田川交番前！ファミリーマートの向かい、渋谷JOWビル8Fです。429 meters from Shibuya.,12:00～翌4:00Open on sundays,年中無休,"Dinner:￥3,000～￥3,999Lunch:￥2,000～￥2,999",Credit Cards Accepted                  (VISA、Master、AMEX)                Electronic money Not Accepted,,
26,Tamachitei(たまち亭),"Izakaya (Tavern), Seafood, Nihonshu (Japanese sake)",050-5571-1041      (+81-50-5571-1041)    (For reservation only)        03-3455-3366        (+81-3-3455-3366)      (For inquiry)予約可※コロナウイルスの影響により、前日までのご宴会キャンセルにつきましてはキャンセル代金を頂戴いたしません。また、人数変更につきましても当日まで承らせていただきます。店舗までご連絡くださいませ。※ご予約キャンセル設定は期日迄にお願い致します人数や内容変更は店舗にご連絡下さい,3-chome-6-8 Shibaura Minato City Tokyo-to                                     東京都                                              港区                                                芝浦                                              3-6-8                                          うつみビル 2F                    Show larger map,ＪＲ各線田町駅田町駅芝浦口より徒歩3分三田駅A5番出口より徒歩5分293 meters from Tamachi.,16:30～2４:00（L.O.2３:30）,日曜日★豊洲市場直送の鮮魚・厳選牛タンと日本酒ウリにした居酒屋個室は10名・宴会場30～40名様と最大66名様♪貸切・会社宴会・接待・歓送迎会・デート・2次会にもおすすめ♪インスタにて、人気メニューレシピ公開中！#たまち亭検索♪ワンコインチャージで銘柄日本酒等ドリンク半額！（詳細はドリンクメニュー）,"Dinner:￥3,000～￥3,999Lunch:～￥999",Credit Cards Accepted                  (VISA、Master)                Electronic money Not AcceptedQR code payment Not Accepted,なし,
27,Kushiageikkatsu(串揚げ 一喝),"Kushi-age (Fried Skewer), Japanese food (other), Izakaya (Tavern)",050-5593-3634      (+81-50-5593-3634)    (For reservation only)        03-5628-6868        (+81-3-5628-6868)      (For inquiry)予約可※ネット予約時の注意事項※食べログネット予約にてご予約いただいたお客様におかれましては、キャンセルおよび人数変更が生じた場合、お手数をおかけしますがお電話ではなく、食べログページよりキャンセル・人数変更処理をして頂きますよう、何卒よろしくお願い申し上げます。,5-chome-3-9 Kameido Koto City Tokyo-to                                     東京都                                              江東区                                                亀戸                                              5-3-9                                          里見ビル　１Ｆ                    Show larger map,ＪＲ総武線「亀戸駅」北口より徒歩1分122 meters from Kameido.,水曜〜日曜日17:00〜20:00までに入店(21：00閉店)Open on sundays,火曜日（※当面の間、月曜日も定休日となります。）,"Dinner:￥4,000～￥4,999",Credit Cards Accepted                  (JCB、AMEX、Diners、VISA、Master)                Electronic money Not Accepted,,
